No.,FECHA NOTICIA,FUENTE,NOMBRE COLUMNISTA/ ESCRITOR,TEMA GENERAL DE NOTICIA,TIPO DE NOTICIA,TITULAR / NOMBRE NOTICIA,SECTOR (BARRIO / LOCALIDAD),DESCRIPCIÓN NOTICIA,OPORTUNIDAD DE INTERVENCIÓN ,LINK DE CONSULTA 
11,"miércoles, septiembre 07, 2022",El Irreverente,El Irreverente,Seguridad,Negativa,En cámaras quedó registrado el robo de una motocicleta en el centro de Ibagué,Centro de Ibagué,"En la mañana de este miércoles 7 de septiembre, un ciudadano dejó su motocicleta estacionada en el centro de Ibagué, mientras hacía unas diligencias, sin percatarse que le robarían su vehículo en cuestión de segundos.

En cámaras de seguridad quedó registrado el momento, cuando un delincuente observa una motocicleta estacionada y, aprovecha que, al parecer, tiene la llave, para encenderla y salir huyendo.",planes en contra de la inseguridad,https://elirreverenteibague.com/noticia/14977/En-c%C3%A1maras-qued%C3%B3-registrado-el-robo-de-una-motocicleta-en-el-centro-de-Ibagu%C3%A9-
12,"miércoles, septiembre 07, 2022",El Irreverente,El Irreverente,Seguridad,Negativa,Comerciantes están preocupados por el aumento de robos en el centro de Ibagué,Centro de Ibagué,"Hechos de delincuencia se estarían registrando en la calle 16 con carrera 1ª de esta capital, donde la falta de luminarias y personal policial en la zona, se ha convertido en el aliado para los amigos de lo ajeno.

“Se han disparado los robos, a cualquier hora del día roban a los ciudadanos y salen corriendo por este sector, la verdad ya no contamos con la presencia de la Policía Nacional”, señaló uno de los denunciantes.",planes en contra de la inseguridad,https://elirreverenteibague.com/noticia/14969/Comerciantes-est%C3%A1n-preocupados-por-el-aumento-de-robos-en-el-centro-de-Ibagu%C3%A9-
13,"miércoles, septiembre 07, 2022",El Irreverente,El Irreverente,Salud,Negativa,Con moho habrían recibido el PAE los estudiantes de Rovira,Municipio de Rovira,"De acuerdo con información entregada por Edilberto Guzmán, líder social y comunitario del municipio de Rovira, varios padres de familia se encuentran indignados por las malas condiciones en que estarían siendo entregados los alimentos de PAE.

Esto se debe a que, un lote de pan, habría sido proporcionado con moho a los estudiantes de la vereda El Palmar de dicha municipalidad.

""Me llegaron a mi WhatsApp unas imágenes de cómo estarían entregando los alimentos del PAE; unos panes al parecer, con moho, dañados, en estado de descomposición"", indicó Guzmán.",Supervisión a planes almentarios,https://elirreverenteibague.com/noticia/14965/Con-moho-habr%C3%ADan-recibido-el-PAE-los-estudiantes-de-Rovira
14,"miércoles, septiembre 07, 2022",El Irreverente,El Irreverente,Seguridad,Negativa,¡Pilas! Disparados están los ladrones en la vía que conduce a San Bernardo,Ciudad de Ibagué en general,"Habitantes del barrio El País denuncian que, una pareja en motocicleta tendría azotado este sector, los cuales, al parecer, tienen horario fijo para robar a transeúntes en este punto de la geografía local.

Estos delincuentes, presuntamente, llegarían sobre las 6: 00 p.m a la vía que comunica el sector de El País con San Bernardo, amedrantando con armas blancas y de fuego a quienes transitan por esta vía, al norte de esta capital.",planes en contra de la inseguridad,https://elirreverenteibague.com/noticia/14964/%C2%A1Pilas!-Disparados-est%C3%A1n-los-ladrones-en-la-v%C3%ADa-que-conduce-a-San-Bernardo
15,"jueves, septiembre 08, 2022",Alerta Tolima, Juliette Alexandra Echeverry Bonilla,Economía,Positiva,Inicia nuevo pago de ‘Colombia Mayor’ en Ibagué,Ciudad de Ibagué en general,"Una buena noticia llega para todas las personas que son beneficiarios de incentivo ‘Colombia Mayor’, pues desde hoy 7 de septiembre y hasta el día 20 podrán acercarse a los puntos autorizados Gana Gana, donde vienen realizado los cobros, para reclamar el subsidio correspondiente.",incentivos para el adulto mayor,https://www.alertatolima.com/noticias/tolima/ibague/inicia-nuevo-pago-de-colombia-mayor-en-ibague
16,"jueves, septiembre 08, 2022",El Nuevo Día,Camara de comercio de Ibagué,Economía,Positiva,Aumentó el índice de nuevas empresas en Ibagué,Municipios jurisdicción de Ibagué,"Según la Cámara de Comercio de Ibagué, en el 2022, la creación de empresas se incrementó en 2,69 % con respecto al año anterior. Para la obtención de la cifra se tomó en cuenta el desarrollo empresarial de los 11 municipios adscritos a la jurisdicción de la Cámara de Comercio de Ibagué (CCI) durante el primer semestre del año.",impulso a microempresas,https://www.elnuevodia.com.co/nuevodia/economica/494598-aumento-el-indice-de-nuevas-empresas-en-ibague
17,"jueves, septiembre 08, 2022",Ecos del combeima,Javier Soto,Política,Neutral ,Análisis a la posición de los partidos políticos frente al gobierno de Petro,Ciudad de Ibagué en general,"Disraeli Labrador Forero y Gustavo Collazos analizaron hoy en el Ping Pong Político de Econoticias, la postura que tomaron los partidos políticos frente al Gobierno Nacional y el panorama que tiene el presidente Gustavo Petro en su relación con el Congreso",Visión panorama presidencial,https://www.ecosdelcombeima.com/politica/nota-199607-analisis-la-posicion-de-los-partidos-politicos-frente-al-gobierno-de-petro
18,"jueves, septiembre 08, 2022",Gobernación del Tolima,Gobernación del Tolima,Salud,Positiva,Secretaría de Salud Tolima habilita servicios a la Clínica Keralty en Ibagué,Ciudad de Ibagué en general,"El equipo de habilitación de la Secretaría de Salud Departamental termina la verificación de las condiciones de las instalaciones de la Clínica Keralty de la EPS Sanitas, en la calle 60 de Ibagué.

El cierre de la visita lo lideró la secretaria de Salud, Martha Palacios Uribe, quien aseguró que las nuevas instalaciones ayudarán a mejorar la atención a sus 147 mil usuarios.",Impulsar servicios,https://www.tolima.gov.co/noticias/1333-secretaria-de-salud/4284-secretaria-de-salud-tolima-habilita-servicios-a-la-clinica-keralty-en-ibague
19,"jueves, septiembre 08, 2022",Unidad de Salud de Ibagué,Unidad de Salud de Ibagué,Salud,Positiva,¡Cada vez más cerca la entrega de la USI en Picaleña!,Picaleña,"La Administración Municipal ha realizado esfuerzos para dar mayor cobertura en salud a la comunidad ibaguereña; por eso, se está construyendo la Unidad de Salud Intermedia en Picaleña. ",Control y seguimiento de entrega del proyecto,https://www.usiese.gov.co/component/k2/item/275-%C2%A1cada-vez-m%C3%A1s-cerca-la-entrega-de-la-usi-en-picale%C3%B1a.html
20,"jueves, septiembre 08, 2022",El Irreverente,El Irreverente,Política,Neutral ,"“Ni del Hurtadismo, ni del Barretismo”: Berbeo dice que se lanzará a la alcaldía como independiente",Ciudad de Ibagué en general,"El exsecretario de Gobierno Municipal, Óscar Alexander Berbeo, anunció hace pocas horas que, es candidato de “una nueva fuerza cívica”, la cual es denominada con la frase “Te quiero Ibagué”. Así las cosas, Berbeo cada vez tiene el propósito de lanzar su candidatura a la Alcaldí",Conocimiento de postulantes políticos,"https://elirreverenteibague.com/noticia/14547/%E2%80%9CNi-del-Hurtadismo,-ni-del-Barretismo%E2%80%9D:-Berbeo-dice-que-se-lanzar%C3%A1-a-la-alcald%C3%ADa-como-independiente-"
21,"jueves, septiembre 08, 2022",El Nuevo Día,El Nuevo Dia ,Seguridad,Negativa,Detalles del atroz hallazgo de un cuerpo en una cuneta en Ibagué: lo habrían asfixiado,Chucuní,"Alrededor de las 6:00 a.m. de este jueves, la Policía de Ibagué atendio el llamado de los habitantes de Chucuní  sobre un extraño hallazgo en una importante vía del sector.

El sujeto fue hallado en un canal en la vía que conduce Ibagué al norte del Tolima, durante la mañana de este jueves.",planes de incremento de seguridad,https://www.elnuevodia.com.co/nuevodia/ibague/494585-detalles-del-atroz-hallazgo-de-un-cuerpo-en-una-cuneta-en-ibague-lo-habrian-asfixiado
22,"jueves, septiembre 08, 2022",SECRETARÍA DE LAS TIC.,SECRETARÍA DE LAS TIC.,Trabajo,Positiva,"Emerson Saavedra, el joven que se proyecta en redes sociales gracias a la 'Zona Vibra'",Ciudad de Ibagué en general,"Cada día los ibaguereños salen adelante con diferentes proyectos gracias a la conectividad a Internet. Ejemplo de lo anterior ha sido Emerson Saavedra, un joven del barrio Yuldaima que encuentra en estas plataformas un espacio para generar contenido, y de paso proyectarse económicamente. ",Ampliacion y apoyo a proyectos de innovación,https://ibague.gov.co/portal/seccion/noticias/index.php?idnt=13025
23,"jueves, septiembre 08, 2022",Caracol Radio,Francy Robayo,Política,Neutral ,Garantizan seguridad para el presidente de la Asamblea del Tolima,Ciudad de Ibagué en general,"El diputado (presidente de la asamblea del tolima) ha recibido en contra de su vida. El diputado expresó que vía telefónica y a través de mensajes ha venido recibiendo las intimidaciones que buscarán que no denuncie las irregularidades que se presentan en diferentes zonas del Tolima, además que desde el año 2017 ha venido siendo afectado por amenazas, por ese motivo cuenta con cuatro medidas de protección.

Ante esta situación el comandante de la Policía del Tolima el coronel Néstor Cépeda, aseguró que tras conocerse la situación han venido adoptando todas las medidas de seguridad para el diputado quien cuenta con un esquema de seguridad, además se avanzan con las investigaciones para dar claridad a esos hechos que son lamentables.",Planes de incremento de seguridad,https://caracol.com.co/emisora/2022/09/08/ibague/1662634297_488950.html
